" There was an error occurred during paying process.","在支付的过程中发生了一个错误"
"Bank","银行"
"Service Type","服务类型"
"Enabled","启用"
"English","英语"
"Error occured","发生错误"
"Key","加密号"
"New order status","新的订单号状态"
"Order %s","Order %s"
"Order number will be used if left empty","Order number will be used if left empty"
"Site code","网站代码"
"Sort order","排序方法"
"Spain","西班牙"
"Test mode","测试模式"
"There was an error occurred during paying process.","在支付的过程中发生了一个错误"
"Title","标题"
"Transaction Description","交易描述"
"Products","担保支付(实物产品)"
"Virtual Products","即时支付(虚拟产品)"
"You will be redirected to alipay website when you place an order.","下订单时，会转向支付宝网站。"
"You will be redirected to Alipay in a few seconds.","您很快将会转向支付宝网站"
"Gateway","接口地址"
"Partner ID","合作伙伴ID (即Partner ID)"
"Security Code","安全校验号"
"Seller Email","支付宝账号(邮件地址或ID)"
"Transport","传输协议"
"Order status when payment accepted by Alipay","支付宝订单接受状态"
"Order status when payment refused by Alipay","支付宝订单拒绝状态"
"Payment from applicable countries","支付允许国家"
"CosmoCommerce Alipay Payment","CosmoCommerce 支付宝支付接口"
"Payment from Specific countries","支付指定国家"
"Create Partner Trade By Buyer","担保交易收款"
"Create Forex Trade","国际卡支付"
"Create Direct Pay By User","即时到账收款"
"POST","平邮"
"EXPRESS","其他快递"
"EMS","EMS"
"BUYER_PAY","物流买家承担运费"
"SELLER_PAY","物流卖家承担运费"
"BUYER_PAY_AFTER_RECEIVE","买家到货付款，运费显示但不计入总价"
"DIRECT","无需物流"

"WAIT BUYER PAY","交易创建,等待买家付款"
"WAIT SELLER SEND GOODS","买家付款成功,等待卖家发货"
"WAIT BUYER CONFIRM GOODS","卖家已经发货,等待买家确认"
"TRADE CLOSED","交易关闭"
"WAIT SELLER AGREE","退款协议等待卖家确认中"
"SELLER REFUSE BUYER","卖家不同意协议，等待买家修改"
"WAIT BUYER RETURN GOODS","退款协议达成，等待买家退货"
"WAIT SELLER CONFIRM GOODS","等待卖家收货"
"REFUND SUCCESS","退款成功"
"REFUND CLOSED","退款关闭"
"TRADE SUCCESS","交易成功"
"TRADE FINISHED","交易成功"
"Trade Create By Buyer","标准双接口收款"
"Customer was redirected to Alipay","顾客进入支付宝准备支付"
"Customer was redirected to payment confirm page","顾客进入网站支付确认页面"
"Customer successfully returned from Alipay","顾客成功从支付宝返回"
